,league_name,year,transfer_period,fee_cleaned
464,Serie A,1992,Summer,130.365
465,Serie A,1992,Winter,0.0
466,Serie A,1993,Summer,66.345
467,Serie A,1993,Winter,18.0
468,Serie A,1994,Summer,46.605
469,Serie A,1994,Winter,1.659
470,Serie A,1995,Summer,92.78
471,Serie A,1995,Winter,5.505
472,Serie A,1996,Summer,87.41
473,Serie A,1996,Winter,25.05
474,Serie A,1997,Summer,182.705
475,Serie A,1997,Winter,22.8
476,Serie A,1998,Summer,305.42
477,Serie A,1998,Winter,37.1
478,Serie A,1999,Summer,395.83
479,Serie A,1999,Winter,106.84
480,Serie A,2000,Summer,475.373
481,Serie A,2000,Winter,48.325
482,Serie A,2001,Summer,813.595
483,Serie A,2001,Winter,1.95
484,Serie A,2002,Summer,326.29
485,Serie A,2002,Winter,0.65
486,Serie A,2003,Summer,161.32
487,Serie A,2003,Winter,29.815
488,Serie A,2004,Summer,196.34
489,Serie A,2004,Winter,31.65
490,Serie A,2005,Summer,177.708
491,Serie A,2005,Winter,13.575
492,Serie A,2006,Summer,219.276
493,Serie A,2006,Winter,40.056
494,Serie A,2007,Summer,367.687
495,Serie A,2007,Winter,69.478
496,Serie A,2008,Summer,557.05
497,Serie A,2008,Winter,53.9
498,Serie A,2009,Summer,488.869
499,Serie A,2009,Winter,65.8
500,Serie A,2010,Summer,340.721
501,Serie A,2010,Winter,141.045
502,Serie A,2011,Summer,565.539
503,Serie A,2011,Winter,72.47
504,Serie A,2012,Summer,451.485
505,Serie A,2012,Winter,120.58
506,Serie A,2013,Summer,527.207
507,Serie A,2013,Winter,76.98
508,Serie A,2014,Summer,388.601
509,Serie A,2014,Winter,76.31
510,Serie A,2015,Summer,672.628
511,Serie A,2015,Winter,90.27
512,Serie A,2016,Summer,756.842
513,Serie A,2016,Winter,107.48
514,Serie A,2017,Summer,1011.416
515,Serie A,2017,Winter,52.85
516,Serie A,2018,Summer,1206.092
517,Serie A,2018,Winter,158.501
518,Serie A,2019,Summer,1225.638
519,Serie A,2019,Winter,228.974
520,Serie A,2020,Summer,876.622
521,Serie A,2020,Winter,103.605
522,Serie A,2021,Summer,628.422
523,Serie A,2021,Winter,180.65
524,Serie A,2022,Summer,749.73
