Squad,Gender,Comp,From,To,Comps,Champs,Other Names
FC Metz,F,,2018-2019,2019-2020,2,,
FC Metz,M,Ligue 2,1995-1996,2022-2023,24,2,
FC Montceau Bourgogne,M,,2014-2015,2019-2020,0,0,
FC Morteau-Montlebon,M,,2017-2018,2021-2022,0,0,
FC Mtsapéré,M,,2016-2017,2020-2021,0,0,
FC Mulhouse,M,,2014-2015,2021-2022,0,0,
FC Nantes,M,Ligue 1,1993-1994,2022-2023,27,1,
FC Nogentais,M,,2021-2022,2021-2022,0,0,
FC Nord 17,M,,2015-2016,2015-2016,0,0,
FC Nueillaubiers,M,,2019-2020,2019-2020,0,0,
FC Obermodern,M,,2020-2021,2020-2021,0,0,
FC Ouest Tourangeau,M,,2021-2022,2021-2022,0,0,
FC Pays Argentonnais,M,,2017-2018,2017-2018,0,0,
FC Petit-Bard Montpellier,M,,2014-2015,2014-2015,0,0,
FC Pontcharra St. Loup,M,,2015-2016,2015-2016,0,0,
FC Porto Portugais,M,,2017-2018,2017-2018,0,0,
FC Quarouble,M,,2017-2018,2017-2018,0,0,
FC Quimperlé,M,,2017-2018,2017-2018,0,0,
FC Raismes,M,,2021-2022,2021-2022,0,0,
FC Rhône Vallées 26.07,M,,2014-2015,2020-2021,0,0,
FC Riom,M,,2018-2019,2018-2019,0,0,
FC Roche Saint Genest,M,,2022-2023,2022-2023,0,,
FC Rossfeld,M,,2018-2019,2018-2019,0,0,
FC Rouen,M,,2017-2018,2021-2022,0,0,
FC Rousse-Ste Victoire,M,,2016-2017,2016-2017,0,0,
FC Saint Mihiel,M,,2014-2015,2014-2015,0,0,
FC Saint-Cyr Collonges au Mont d'Or,M,,2021-2022,2021-2022,0,0,
FC Saint-Doulchard,M,,2022-2023,2022-2023,0,,
FC Saint-Julien Petit Quevilly,M,,2021-2022,2021-2022,0,0,
FC Saint-Lô Manche,M,,2014-2015,2021-2022,0,0,
FC Saint-Louis Neuweg,M,,2014-2015,2022-2023,0,0,
FC Saint-Méziéry,M,,2020-2021,2020-2021,0,0,
FC Sarrebourg,M,,2016-2017,2021-2022,0,0,
FC Saverne,M,,2014-2015,2014-2015,0,0,
FC Seltz,M,,2014-2015,2014-2015,0,0,
FC Sens,M,,2015-2016,2015-2016,0,0,
FC Sète 34,M,,2015-2016,2018-2019,0,0,
FC Sochaux-Montbéliard,M,Ligue 2,1998-1999,2022-2023,23,0,
FC Soleil Bischheim,M,,2016-2017,2021-2022,0,0,
FC Still 1930,M,,2017-2018,2017-2018,0,0,
FC Tartas St-Yaguen,M,,2018-2019,2018-2019,0,0,
FC Trémery,M,,2017-2018,2017-2018,0,0,
FC Val' Lyonnais,M,,2018-2019,2018-2019,0,0,
FC Valdaine,M,,2017-2018,2017-2018,0,0,
FC Vallée de la Gresse,M,,2017-2018,2017-2018,0,0,
FC Vaulx-en-Velin,M,,2014-2015,2022-2023,0,0,
FC Versailles,M,,2015-2016,2021-2022,0,0,78
FC Verton,M,,2019-2020,2019-2020,0,0,
FC Veyle Saone,M,,2015-2016,2015-2016,0,0,
FC Villefranche,M,,2015-2016,2022-2023,0,0,-Beaujolais
FCA Troyenne,M,,2017-2018,2018-2019,0,0,
FCE Schirrhein,M,,2015-2016,2015-2016,0,0,
FCM Aubervilliers,M,,2014-2015,2022-2023,0,0,
FCO Strasbourg Koenigshoffen 06,M,,2020-2021,2022-2023,0,0,
FCSR Haguenau,M,,2016-2017,2022-2023,0,0,FC SR Haguenau
Football Balagne Île Rousse,M,,2015-2016,2015-2016,0,0,
Football club de Saint-Médard-en-Jalles,M,,2019-2020,2019-2020,0,0,FC Saint Médard en Jalles
Football Club Libourne,M,,2014-2015,2021-2022,0,0,FC Libourne
Football en Mont-Pilat,M,,2017-2018,2017-2018,0,0,
FR Saint Marcel,M,,2021-2022,2021-2022,0,0,
FU Narbonne,M,,2022-2023,2022-2023,0,,
Gallia Club Lucciana,M,,2017-2018,2022-2023,0,0,
Gazélec Ajaccio,M,,2012-2013,2021-2022,6,0,
Genêts Anglet,M,,2014-2015,2020-2021,0,0,Les Genêts d'Anglet Football
GFA Rumilly Vallières,M,,2020-2021,2022-2023,0,0,
Golden Star,M,,2015-2016,2019-2020,0,0,Fort-de-France
GPSO 92 Issy,F,,2020-2021,2021-2022,2,,
Grand Calais Pascal FC,M,,2019-2020,2019-2020,0,0,
Grand-Quevilly FC,M,,2016-2017,2022-2023,0,0,
Grenoble Foot 38,M,Ligue 2,2008-2009,2022-2023,8,0,
GS Consolat,M,,2014-2015,2020-2021,0,0,Athlético Marseille
GSI Pontivy,M,,2014-2015,2018-2019,0,0,
Guipavas GDR,M,,2016-2017,2018-2019,0,0,
Hauts Lyonnais,M,,2015-2016,2021-2022,0,0,
Havre Caucriauville S.,M,,2022-2023,2022-2023,0,,
Hienghène Sport,M,,2015-2016,2022-2023,0,0,
Houilles AC,M,,2017-2018,2017-2018,0,0,
Hyères FC,M,,2016-2017,2022-2023,0,0,
J3S Amilly,M,,2021-2022,2021-2022,0,0,
JA Armentières,M,,2022-2023,2022-2023,0,,
JA Biarritz,M,,2016-2017,2016-2017,0,0,
JA Drancy,M,,2016-2017,2022-2023,0,0,Jeanne d'Arc de Drancy
Jarville JF,M,,2016-2017,2016-2017,0,0,
Jeunesse Evolution,M,,2019-2020,2019-2020,0,0,AN Jeunesse Évolution
JS Chemin Bas d'Avignon,M,,2021-2022,2021-2022,0,0,
JS Saint-Pierroise,M,,2016-2017,2022-2023,0,0,
JS Sireuil,M,,2019-2020,2019-2020,0,0,
JS St. Jean Beaulieu,M,,2015-2016,2015-2016,0,0,
JS Vieux-Habitants,M,,2018-2019,2018-2019,0,0,
JSC Bellevue Nantes,M,,2014-2015,2022-2023,0,0,
Jura Dolois Foot,M,,2021-2022,2022-2023,0,0,
Jura Sud Lavans,M,,2014-2015,2022-2023,0,0,Jura Sud Foot
L'Entente SSG,M,,2015-2016,2019-2020,0,0,Entente Sannois Saint-Gratien
L'Esperance de Saint-Dizier,M,,2014-2015,2014-2015,0,0,
L'Etoile de Morne-à-l'Eau,M,,2015-2016,2022-2023,0,0,L'Étoile Morne-à-l'Eau
L'Union Saint Jean FC,M,,2019-2020,2019-2020,0,0,
La Brède FC,M,,2017-2018,2018-2019,0,0,
La Flèche RC,M,,2019-2020,2019-2020,0,0,RC Flèchois
La Roche VF,M,,2021-2022,2021-2022,0,0,
Langon FC,M,,2017-2018,2017-2018,0,0,
Lannion FC,M,,2018-2019,2022-2023,0,0,
LB Châteauroux,M,,1997-1998,2022-2023,11,0,
LC Bretteville-sur-Odon,M,,2017-2018,2017-2018,0,0,
Le Blanc-Mesnil SF,M,,2015-2016,2017-2018,0,0,
Le Havre AC,M,Ligue 2,1995-1996,2022-2023,21,0,
Le Havre AC,F,Championnat de France de Football Féminin,2020-2021,2022-2023,2,,
Le Mans FC,M,,2003-2004,2022-2023,10,0,
Le Mée-sur-Seine SF,M,,2016-2017,2016-2017,0,0,
Le Puy Foot 43,M,,2014-2015,2022-2023,0,0,
Le Touquet Athletic Club,M,,2019-2020,2019-2020,0,0,Le Touquet AC
Les Herbiers VF,M,,2015-2016,2022-2023,0,0,Vendée Les Herbiers Football
Les Jeunes d'Argentré,M,,2014-2015,2014-2015,0,0,
Lille OS Fives,M,,2017-2018,2017-2018,0,0,
Lille OSC,F,,2017-2018,2018-2019,2,,
Lille OSC,M,Ligue 1,1995-1996,2022-2023,25,2,
Limens JSA,M,,2021-2022,2021-2022,0,0,
Limoges FC,M,,2015-2016,2018-2019,0,0,
Luc-Primaube FC,M,,2016-2017,2016-2017,0,0,
Luzenac AP,M,,2018-2019,2018-2019,0,0,Luzenac Ariège Pyrénées
Mareuil SC,M,,2022-2023,2022-2023,0,,
Marssac Rivières Sénouillac,M,,2014-2015,2020-2021,0,0,
Melun FC,M,,2018-2019,2018-2019,0,0,
Mons AC,M,,2015-2016,2015-2016,0,0,
Montauban FC Tarn et Garonne,M,,2015-2016,2022-2023,0,0,
